,closing_prices,predicted_prices
0,145.41452026367188,142.82933044433594
1,145.65182495117188,143.35057067871094
2,146.39337158203125,143.92906188964844
3,148.28189086914062,144.54461669921875
4,148.64772033691406,145.36932373046875
5,148.6971435546875,146.25241088867188
6,148.43919372558594,147.00833129882812
7,148.30029296875,147.4993133544922
8,148.40943908691406,147.71929931640625
9,150.0364990234375,147.7690887451172
10,150.83018493652344,147.98797607421875
11,151.11790466308594,148.434814453125
12,150.18531799316406,148.99063110351562
13,148.36976623535156,149.3543243408203
14,148.13165283203125,149.23133850097656
15,148.66738891601562,148.7973175048828
16,148.7467498779297,148.38514709472656
17,150.55238342285156,148.12521362304688
18,150.1654815673828,148.3115234375
19,149.9373016357422,148.70135498046875
20,150.50277709960938,149.08460998535156
21,152.0306396484375,149.4702606201172
22,153.31045532226562,150.04017639160156
23,154.30255126953125,150.8429718017578
24,153.4691925048828,151.7997589111328
25,153.1517333984375,152.5273895263672
26,154.4811553955078,152.8975067138672
27,156.16773986816406,153.19615173339844
28,156.16773986816406,153.7020721435547
29,156.13795471191406,154.26071166992188
30,157.41778564453125,154.72149658203125
31,157.70550537109375,155.23065185546875
32,156.34629821777344,155.7350311279297
33,156.45542907714844,155.91824340820312
34,159.35238647460938,155.8758087158203
35,157.36817932128906,156.20419311523438
36,157.7749481201172,156.4248809814453
37,156.33639526367188,156.56858825683594
38,158.82656860351562,156.41775512695312
39,160.81077575683594,156.52825927734375
40,160.06671142578125,157.15841674804688
41,161.99139404296875,157.87571716308594
42,160.85047912597656,158.7844696044922
43,161.89219665527344,159.455810546875
44,164.8585968017578,160.00234985351562
45,165.78126525878906,160.8837127685547
46,165.1859893798828,161.98699951171875
47,164.39230346679688,162.89117431640625
48,165.4042510986328,163.3335723876953
49,163.73751831054688,163.57980346679688
50,160.99928283691406,163.42137145996094
51,164.1542205810547,162.59783935546875
52,166.7138214111328,162.08322143554688
53,171.4164276123047,162.37501525878906
54,168.8865509033203,163.9050750732422
55,173.00381469726562,165.44363403320312
56,178.69850158691406,167.26365661621094
57,178.48023986816406,169.8738250732422
58,182.18081665039062,172.41510009765625
59,182.43875122070312,174.95309448242188
60,187.21078491210938,177.0188446044922
61,182.98440551757812,179.17579650878906
62,183.2522735595703,180.2547149658203
63,182.2601776123047,180.46568298339844
64,183.88722229003906,180.01051330566406
65,185.7523956298828,179.60556030273438
66,186.3094940185547,179.7139892578125
67,183.4643096923828,180.22714233398438
68,177.66452026367188,180.35812377929688
69,170.00442504882812,179.19400024414062
70,167.1990509033203,176.19105529785156
71,169.28814697265625,172.36212158203125
72,157.36029052734375,169.4087677001953
73,161.17044067382812,165.6569061279297
74,171.8945770263672,162.80812072753906
75,163.65748596191406,163.03594970703125
76,169.6661834716797,163.76388549804688
77,165.4083709716797,165.43724060058594
78,160.7327423095703,166.64309692382812
79,149.83946228027344,166.44155883789062
80,160.08609008789062,163.58621215820312
81,152.83387756347656,161.46038818359375
82,138.33937072753906,159.25234985351562
83,158.0069122314453,154.96836853027344
84,134.71823120117188,153.31793212890625
85,145.8104705810547,150.17074584960938
86,139.67242431640625,148.09445190429688
87,141.97047424316406,146.28346252441406
88,136.63824462890625,145.21214294433594
89,135.2753448486328,143.97511291503906
90,147.5712890625,142.54046630859375
91,146.15863037109375,143.05979919433594
92,155.301025390625,144.6462860107422
93,148.92422485351562,147.84535217285156
94,159.39967346191406,150.4364776611328
95,156.89273071289062,153.5250701904297
96,151.32174682617188,156.0015106201172
97,154.45541381835938,156.59214782714844
98,153.0328369140625,156.29763793945312
99,164.41354370117188,155.3809051513672
100,162.6427764892578,156.10391235351562
101,164.27427673339844,157.52093505859375
102,164.2842254638672,159.1879425048828
103,164.65231323242188,160.59719848632812
104,172.79986572265625,161.58407592773438
105,170.9893035888672,163.47415161132812
106,176.12254333496094,165.3356475830078
107,177.6744842529297,167.58494567871094
108,174.15281677246094,169.9083709716797
109,166.95034790039062,171.19454956054688
110,172.6208038330078,170.3306121826172
111,170.53167724609375,169.35845947265625
112,173.6454620361328,168.38662719726562
113,173.14805603027344,168.18994140625
114,168.93002319335938,168.46917724609375
115,176.51052856445312,168.23374938964844
116,178.28131103515625,169.02044677734375
117,173.66537475585938,170.69552612304688
118,177.91322326660156,171.7487335205078
119,179.82327270507812,172.87657165527344
120,181.59405517578125,174.2405242919922
121,182.64857482910156,175.8016815185547
122,183.7229461669922,177.34317016601562
123,185.7722930908203,178.73269653320312
124,181.56419372558594,180.10415649414062
125,178.81851196289062,180.46133422851562
126,179.59446716308594,179.63671875
127,182.21084594726562,178.48699951171875
128,183.95176696777344,177.95603942871094
129,182.67840576171875,178.2670440673828
130,185.2122802734375,178.7681121826172
131,182.98765563964844,179.67247009277344
132,183.0674591064453,180.247802734375
133,181.1321563720703,180.50282287597656
134,181.37156677246094,180.2147216796875
135,180.96255493164062,179.74566650390625
136,182.80809020996094,179.25686645507812
137,182.3891143798828,179.2183837890625
138,184.46409606933594,179.40577697753906
139,184.9130096435547,180.0338897705078
140,182.4788818359375,180.87132263183594
141,186.74856567382812,181.20172119140625
142,187.90577697753906,181.89691162109375
143,189.34230041503906,182.92198181152344
144,196.36532592773438,184.1563262939453
145,185.82081604003906,186.4613800048828
146,187.2872772216797,187.03907775878906
147,188.484375,186.6009979248047
148,193.10321044921875,185.99200439453125
149,193.77159118652344,186.32069396972656
150,195.84658813476562,187.27259826660156
151,194.6793975830078,188.68247985839844
152,200.0863342285156,189.80264282226562
153,201.42309570312497,191.43589782714844
154,197.3629150390625,193.28684997558594
