Index,closing_prices,predicted_prices
0,1297.9999999999998,1291.7718505859375
1,1311.4599609375,1289.58984375
2,1334.8699951171875,1306.034912109375
3,1320.699951171875,1327.9017333984375
4,1315.4599609374998,1304.459716796875
5,1303.050048828125,1307.489990234375
6,1301.3499755859375,1292.1533203125
7,1295.3399658203125,1295.396484375
8,1306.68994140625,1287.01708984375
9,1313.5500488281248,1302.7166748046875
10,1312.989990234375,1305.1031494140625
11,1304.9599609375,1303.697998046875
12,1289.9200439453127,1294.9959716796875
13,1295.280029296875,1280.4552001953125
14,1320.5400390625,1291.2640380859375
15,1328.1300048828125,1316.4759521484375
16,1340.6199951171875,1316.820068359375
17,1343.56005859375,1331.92236328125
18,1344.6600341796875,1330.67919921875
19,1345.02001953125,1333.224609375
20,1350.27001953125,1333.5108642578125
21,1347.8299560546875,1340.2291259765625
22,1361.1700439453125,1335.3770751953125
23,1355.1199951171875,1353.54541015625
24,1352.6199951171877,1339.810546875
25,1356.0400390625,1342.75048828125
26,1349.5899658203125,1346.0584716796875
27,1348.8399658203127,1337.1016845703125
28,1343.56005859375,1339.84814453125
29,1360.4000244140625,1332.4002685546875
30,1351.8900146484375,1355.080078125
31,1336.1400146484375,1335.964599609375
32,1337.02001953125,1324.87646484375
33,1367.3699951171875,1330.215576171875
34,1360.6600341796875,1363.534912109375
35,1394.2099609375,1342.4224853515625
36,1393.3399658203127,1391.1915283203125
37,1404.3199462890625,1371.4815673828125
38,1419.8299560546875,1393.947998046875
39,1429.72998046875,1404.8729248046875
40,1439.22998046875,1413.237060546875
41,1430.8800048828125,1422.8831787109375
42,1439.199951171875,1410.1292724609375
43,1451.699951171875,1427.66650390625
44,1480.3900146484373,1436.0318603515625
45,1484.4000244140625,1467.780029296875
46,1485.9499511718752,1459.0758056640625
47,1486.6500244140625,1467.16796875
48,1466.7099609375,1466.521484375
49,1433.9000244140623,1443.240234375
50,1452.56005859375,1414.9176025390625
51,1458.6300048828125,1451.7969970703125
52,1455.8399658203123,1439.5140380859375
53,1434.22998046875,1440.207763671875
54,1485.93994140625,1413.21044921875
55,1447.0699462890625,1489.123046875
56,1448.22998046875,1403.318115234375
57,1476.22998046875,1446.984375
58,1479.22998046875,1462.5478515625
59,1508.6800537109373,1456.514892578125
60,1508.7900390625,1496.8543701171875
61,1518.27001953125,1478.2685546875
62,1514.6600341796875,1500.916259765625
63,1520.739990234375,1487.5762939453125
64,1519.6700439453123,1503.11376953125
65,1526.68994140625,1495.347412109375
66,1518.1500244140623,1508.6165771484375
67,1485.1099853515627,1491.846923828125
68,1421.5899658203123,1459.2767333984375
69,1388.4499511718752,1396.3013916015625
70,1393.1800537109373,1384.9320068359375
71,1318.0899658203123,1392.121826171875
72,1339.3299560546877,1289.22900390625
73,1389.1099853515625,1356.2442626953125
74,1341.3900146484373,1384.93896484375
75,1386.52001953125,1311.1046142578125
76,1319.0400390625,1395.4805908203125
77,1298.4100341796873,1279.024169921875
78,1215.56005859375,1300.762939453125
79,1280.3900146484375,1194.103271484375
80,1215.4100341796875,1301.5665283203125
81,1114.9100341796875,1190.4263916015625
82,1219.72998046875,1111.8206787109375
83,1084.3299560546875,1239.2218017578125
84,1119.800048828125,1066.4248046875
85,1096.800048828125,1133.421142578125
86,1115.2900390625,1099.85888671875
87,1072.3199462890625,1122.385986328125
88,1056.6199951171875,1078.0478515625
89,1134.4599609375,1064.8179931640625
90,1102.489990234375,1136.15625
91,1161.75,1105.031982421875
92,1110.7099609375,1162.9658203125
93,1146.8199462890625,1109.454833984375
94,1162.81005859375,1146.76171875
95,1105.6199951171875,1158.9749755859375
96,1120.8399658203125,1102.056884765625
97,1097.8800048828125,1120.3201904296875
98,1186.9200439453125,1096.291015625
99,1186.510009765625,1184.99365234375
100,1210.280029296875,1179.214111328125
101,1211.449951171875,1206.04736328125
102,1217.56005859375,1202.8388671875
103,1269.22998046875,1209.787353515625
104,1262.469970703125,1263.535400390625
105,1263.469970703125,1246.055908203125
106,1283.25,1253.4210205078125
107,1266.6099853515625,1274.298095703125
108,1216.3399658203125,1251.3851318359375
109,1263.2099609375,1203.034912109375
110,1276.31005859375,1268.0465087890625
111,1279.31005859375,1265.63720703125
112,1275.8800048828125,1271.487060546875
113,1233.6700439453125,1266.6370849609375
114,1341.47998046875,1220.6072998046875
115,1348.6600341796875,1354.232421875
116,1320.6099853515625,1323.2149658203125
117,1326.8000488281252,1304.9549560546875
118,1351.1099853515625,1319.9713134765625
119,1347.3000488281252,1343.207763671875
120,1372.56005859375,1331.265625
121,1388.3699951171875,1366.733642578125
122,1403.260009765625,1373.1767578125
123,1375.739990234375,1389.8497314453125
124,1349.3299560546875,1352.0653076171875
125,1356.1300048828125,1337.62890625
126,1373.18994140625,1352.1087646484375
127,1383.93994140625,1365.8038330078125
128,1373.4849853515625,1372.651611328125
129,1406.719970703125,1357.519775390625
130,1402.800048828125,1404.0028076171875
131,1410.4200439453125,1380.2127685546875
132,1417.02001953125,1400.5269775390625
133,1417.8399658203125,1401.2252197265625
134,1416.72998046875,1402.522705078125
135,1428.9200439453125,1401.7353515625
136,1431.8199462890625,1417.618896484375
137,1439.2199707031248,1414.5357666015625
138,1436.3800048828125,1425.6134033203125
139,1412.1800537109375,1417.9588623046875
140,1438.3900146484375,1392.353515625
141,1446.6099853515627,1436.6944580078125
142,1456.1600341796875,1425.979736328125
143,1465.8499755859375,1442.40576171875
144,1403.8399658203125,1447.9447021484375
145,1413.1800537109375,1368.9412841796875
146,1419.8499755859375,1418.81201171875
